Symbol,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy,Precision,Recall,F1_Score
BAJAJ-AUTO,SARIMA,973.2442964467784,773.868299832448,8.691872688204827,-0.0234149990370147,51.51515151515152,0.5228758169934641,0.6299212598425197,0.5714285714285714
BAJAJFINSV,ARIMA,334.43215110899274,294.7112380158698,15.10894897864268,-3.313828203072857,51.11111111111111,0.5833333333333334,0.056910569105691,0.1037037037037037
BAJAJFINSV,SARIMA,333.6766423292212,293.92700644036427,15.067531827005157,-3.2943596576677168,51.11111111111111,0.5833333333333334,0.056910569105691,0.1037037037037037
BAJFINANCE,ARIMA,205.64149489960843,175.0832489391748,18.86119699335069,-1.8994142330363029,49.898989898989896,0.5443037974683544,0.1686274509803921,0.2574850299401197
BAJFINANCE,SARIMA,204.55597868931724,174.17159011924312,18.766702404417515,-1.868884847988329,50.1010101010101,0.5487804878048781,0.1764705882352941,0.2670623145400593
BHARTIARTL,ARIMA,429.0361020000198,385.73234895707657,20.529293198399422,-4.216368476073615,49.09090909090909,1.0,0.0039525691699604,0.0078740157480314
BHARTIARTL,SARIMA,428.682444461776,385.341136327479,20.50735554276881,-4.207772240554167,49.09090909090909,1.0,0.0039525691699604,0.0078740157480314
BPCL,ARIMA,50.83224969907732,42.1697399493043,13.11853115847244,-1.114785287428257,53.73737373737374,0.5571428571428572,0.1645569620253164,0.254071661237785
BPCL,SARIMA,51.02199560994874,42.35484991927321,13.174945718751932,-1.130602836092173,53.535353535353536,0.5507246376811594,0.160337552742616,0.2483660130718954
BRITANNIA,ARIMA,444.8541766486083,371.6456069400106,6.926245978672806,-0.0001079788506144,51.91919191919192,0.5588235294117647,0.4351145038167939,0.4892703862660944
BRITANNIA,SARIMA,444.9467384010942,372.8351796289505,6.938765588200513,-0.0005242113279395,51.71717171717172,0.5566502463054187,0.4312977099236641,0.486021505376344
CIPLA,ARIMA,94.25595492326472,69.62109367744794,4.959570304177207,-0.0181355129931417,51.71717171717172,0.525,0.50199203187251,0.5132382892057028
CIPLA,SARIMA,94.26126734890046,69.62566691447964,4.960022198358072,-0.0182502839193496,51.51515151515152,0.5228215767634855,0.50199203187251,0.5121951219512196
COALINDIA,ARIMA,54.14628074206512,46.30057486975089,12.357350095670665,-0.7486856830880932,54.74747474747475,0.53954802259887,0.7579365079365079,0.6303630363036303
COALINDIA,SARIMA,54.4780698430855,46.525229862759936,12.423298079783434,-0.7701819874090388,55.15151515151515,0.5423728813559322,0.7619047619047619,0.6336633663366337
DIVISLAB,ARIMA,1728.487360832463,1638.3019696570288,26.363358457474494,-8.834796745954312,48.888888888888886,0.0,0.0,0.0
DIVISLAB,SARIMA,1737.854210982187,1648.0764454866946,26.52554232278692,-8.941677104142581,48.888888888888886,0.0,0.0,0.0
DRREDDY,ARIMA,75.07543260552883,59.15066703733279,4.843359978889234,-0.3377247750703918,56.36363636363636,0.5481049562682215,0.7550200803212851,0.6351351351351351
DRREDDY,SARIMA,74.3436773228401,58.59556477985662,4.795242445808302,-0.3117744325192924,56.16161616161616,0.5473372781065089,0.7429718875502008,0.6303236797274275
EICHERMOT,ARIMA,1657.2337679903796,1263.3542816991114,18.599551605874712,-1.3285874768816397,50.30303030303031,0.5384615384615384,0.0843373493975903,0.1458333333333333
EICHERMOT,SARIMA,1658.9111286694515,1265.2397571231195,18.630756358479527,-1.3333035981745471,50.505050505050505,0.5526315789473685,0.0843373493975903,0.1463414634146341
GRASIM,ARIMA,179.1919320901385,131.29348281114912,4.897656429372768,-0.0115063477094015,53.939393939393945,0.5269230769230769,0.5661157024793388,0.545816733067729
GRASIM,SARIMA,179.88486708220273,131.78150557029232,4.925378550388751,-0.0193444611815505,53.535353535353536,0.5215827338129496,0.5991735537190083,0.5576923076923076
HCLTECH,ARIMA,202.9021870546988,169.0957724752083,11.056331459424625,-0.2931118495107565,52.121212121212125,0.5038759689922481,0.2731092436974789,0.3542234332425068
HCLTECH,SARIMA,201.67313713826752,167.8917001278883,10.991822070219746,-0.2774936291060219,51.91919191919192,0.5,0.2731092436974789,0.3532608695652174
HDFCBANK,ARIMA,114.78739537085175,92.37993332590057,9.97642408761472,-1.116962442163524,53.13131313131313,0.5393258426966292,0.200836820083682,0.2926829268292683
HDFCBANK,SARIMA,113.23111156180268,91.0032001434554,9.82974176428483,-1.059948161800465,53.333333333333336,0.5434782608695652,0.209205020920502,0.3021148036253776
HDFCLIFE,ARIMA,98.8250475679468,82.64945830544407,11.323791932490412,-1.2302377396683153,52.121212121212125,0.4952380952380952,0.2203389830508474,0.3049853372434017
HDFCLIFE,SARIMA,122.3945600188175,103.57525113835446,14.169503514168458,-2.4209074702999045,51.91919191919192,0.4545454545454545,0.0423728813559322,0.0775193798449612
HEROMOTOCO,ARIMA,829.3753679388823,641.3952486724168,15.260502630435456,-0.3815463961139174,51.91919191919192,0.5165165165165165,0.6907630522088354,0.5910652920962199
HEROMOTOCO,SARIMA,832.6152048784926,643.4958754057626,15.318559269680373,-0.3923611070900055,51.51515151515152,0.5134328358208955,0.6907630522088354,0.589041095890411
HINDALCO,ARIMA,162.85844802436895,118.38505221045884,13.909973889959344,-0.1959542899567661,48.68686868686869,0.532258064516129,0.4888888888888889,0.5096525096525096
HINDALCO,SARIMA,162.6332948041321,118.38311665887836,13.920792099933196,-0.1926497414141479,48.68686868686869,0.532258064516129,0.4888888888888889,0.5096525096525096
HINDUNILVR,ARIMA,216.7168310884419,187.6627270407061,8.157879398902168,-0.4609135568350846,49.494949494949495,0.4805194805194805,0.7872340425531915,0.5967741935483871
HINDUNILVR,SARIMA,214.37502168056105,185.3282171769812,8.050346011089767,-0.429511319078802,49.292929292929294,0.4790575916230366,0.7787234042553192,0.5931928687196111
ICICIBANK,ARIMA,122.78215804860363,100.62505419908948,7.316220155051977,-1.2417198966028231,53.535353535353536,0.5974025974025974,0.1877551020408163,0.2857142857142857
ICICIBANK,SARIMA,124.4878683934463,102.19071454186818,7.429606050708107,-1.3044372293570428,53.73737373737374,0.6081081081081081,0.1836734693877551,0.2821316614420063
INDUSINDBK,ARIMA,526.3552541653501,484.66610590024936,57.27967633990399,-5.313764045588404,49.898989898989896,0.4947145877378435,0.9629629629629628,0.6536312849162011
INDUSINDBK,SARIMA,524.6367136101774,483.1253896028818,57.09678318224575,-5.272602696087159,49.898989898989896,0.4947368421052631,0.9670781893004116,0.6545961002785516
INFY,ARIMA,221.0603899432093,179.98194804776384,12.7394045297635,-0.0214571161706156,48.48484848484848,0.4763636363636364,0.5413223140495868,0.506769825918762
